state_order	released_state	order_rule	lineage
1	CD4_C01_CCR7	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD4
2	CD4_C02_IL7R	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD4
3	CD4_C03_CD44	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD4
4	CD4_C04_GZMK	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD4
5	CD4_C05_GNLY	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD4
6	CD4_C06_CXCL13	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD4
7	CD4_C07_CTLA4	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD4
8	CD4_C08_FOXP3	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD4
9	CD4_C09_MKI67	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD4
10	CD8_C01_LEF1	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD8
11	CD8_C02_GPR183	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD8
12	CD8_C03_CX3CR1	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD8
13	CD8_C04_GIMAP4	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD8
14	CD8_C05_CCR7	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD8
15	CD8_C06_IKZF2	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD8
16	CD8_C07_KIR2DL4	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD8
17	CD8_C08_GZMK	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD8
18	CD8_C09_LAYN	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD8
19	CD8_C10_SLC4A10	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD8
20	CD8_C11_MKI67	AUTHOR_CD4_CD8_C_NUMERIC_ID_ORDER;TCR_sub_cluster_EXACT	CD8
